ags,57053597,-164,52,9633,65,-20,112
ags,57053598,-206,38,9626,65,-23,104
ags,57053599,-164,43,9643,83,-23,122
ags,57053600,-118,91,9579,81,-14,132
ags,57053601,-106,72,9592,65,-34,125
ags,57053602,-174,69,9658,50,-33,126
ags,57053603,-150,77,9626,46,-38,146
ags,57053604,-169,65,9616,56,-46,154
ags,57053605,-111,137,9675,58,-24,137
ags,57053606,-108,117,9714,56,-20,140
ags,57053607,-125,94,9724,52,-25,136
ags,57053608,-150,108,9706,68,-24,121
ags,57053609,-211,106,9641,68,-20,137
ags,57053610,-167,62,9567,67,-8,141
ags,57053611,-169,101,9623,63,-14,119
ags,57053612,-152,52,9606,67,-25,113
ags,57053613,-159,69,9594,69,-30,127
ags,57053614,-152,77,9643,69,-34,137
ags,57053615,-172,67,9633,68,-30,135
ags,57053616,-162,74,9584,60,-10,129
ags,57053617,-191,142,9619,59,-5,105
ags,57053618,-235,108,9636,56,-14,118
ags,57053619,-172,40,9599,51,-17,146
ags,57053620,-159,60,9684,48,-18,153
ags,57053621,-235,30,9641,53,-36,139
ags,57053622,-225,55,9684,56,-23,124
ags,57053623,-198,43,9628,60,-21,132
ags,57053624,-230,47,9641,80,-27,137
ags,57053625,-216,67,9594,76,-44,143
ags,57053626,-162,65,9638,70,-55,151
ags,57053627,-130,57,9626,66,-47,137
ags,57053628,-179,62,9680,55,-27,141
ags,57053629,-223,43,9689,56,-30,133
ags,57053630,-228,45,9623,72,-39,119
ags,57053631,-174,91,9589,79,-46,96
ags,57053632,-196,52,9579,78,-42,110
ags,57053633,-189,72,9606,65,-23,129
ags,57053634,-159,72,9626,60,-27,136
ags,57053635,-142,69,9611,73,-46,121
ags,57053636,-115,-6,9526,61,-23,110
ags,57053637,-142,13,9540,43,-20,106
ags,57053638,-140,67,9538,50,-24,108
ags,57053639,-169,45,9616,67,-40,111
ags,57053640,-213,65,9628,71,-44,130
ags,57053641,-194,65,9589,86,-36,127
ags,57053642,-172,89,9609,79,-43,135
ags,57053643,-174,74,9660,54,-40,135
ags,57053644,-128,62,9665,53,-49,116
ags,57053645,-172,104,9709,50,-24,117
ags,57053646,-228,96,9655,61,-18,126
ags,57053647,-201,89,9614,58,-14,147
ags,57053648,-172,67,9633,51,-17,139
ags,57053649,-174,69,9611,63,-26,126
ags,57053650,-189,89,9614,80,-27,122
ags,57053651,-152,43,9611,75,-16,130
